Brand,brand_number,model,model_number,Year,Age,kmDriven,Transmission,Owner,FuelType,AskPrice
Honda,0,City,0,2001,23,98000.0,1,1,0,195000
Volkswagen,1,VentoTest,1,2010,14,77246.0,1,0,1,184999
Maruti Suzuki,2,Swift,2,2017,7,83500.0,1,1,1,565000
Maruti Suzuki,2,Baleno,3,2019,5,45000.0,0,0,0,685000
BMW,3,X3,4,2014,10,83000.0,0,0,1,1350000
Maruti Suzuki,2,maruti-suzuki-dzire,5,2020,4,33759.0,1,1,0,622000
Ford,4,Ecosport,6,2017,7,69713.0,1,1,0,649000
Maruti Suzuki,2,Alto-K10,7,2018,6,70000.0,0,0,0,395000
Maruti Suzuki,2,Swift-Dzire,8,2012,12,72700.0,1,1,0,240000
Toyota,5,Corolla,9,2007,17,121931.0,0,1,0,201350
Hyundai,6,Xcent,10,2018,6,130000.0,1,1,1,330000
Kia,7,Seltos,11,2020,4,68000.0,1,0,1,1045000
Maruti Suzuki,2,Ertiga,12,2016,8,65000.0,1,1,1,785000
Maruti Suzuki,2,Ertiga,12,2017,7,59000.0,0,1,0,555000
BMW,3,3 Series GT,13,2015,9,61000.0,0,1,1,1500000
Toyota,5,Innova Crysta,14,2017,7,107000.0,0,0,1,1325000
Audi,8,A3,15,2015,9,42000.0,0,1,1,1050000
Renault,9,KWID,16,2019,5,48073.0,0,1,0,355000
MG,10,Hector,17,2019,5,32618.0,0,0,0,1250000
Maruti Suzuki,2,Swift-Dzire,8,2012,12,70000.0,1,1,1,315000
Maruti Suzuki,2,Celerio,18,2014,10,51000.0,0,1,0,345000
Maruti Suzuki,2,Vitara-Brezza,19,2018,6,137000.0,1,0,1,845000
Toyota,5,Innova Crysta,14,2017,7,90000.0,1,1,1,1950000
Toyota,5,Innova,20,2011,13,84000.0,1,1,1,490000
Hyundai,6,Venue,21,2021,3,17000.0,1,0,0,685000
Maruti Suzuki,2,Ertiga,12,2018,6,70000.0,1,1,0,749000
Hyundai,6,Creta,22,2023,1,5000.0,0,0,0,1600000
Hyundai,6,Alcazar,23,2022,2,47110.0,1,1,1,1695000
Hyundai,6,i20,24,2019,5,35000.0,1,0,0,585000
Volkswagen,1,Polo,25,2021,3,42000.0,1,1,0,675000
Maruti Suzuki,2,Baleno,3,2018,6,30000.0,1,1,0,630000
Hyundai,6,Verna,26,2016,8,82100.0,1,1,1,465000
Audi,8,A4,27,2012,12,90000.0,0,1,1,899000
Maruti Suzuki,2,Swift-Dzire,8,2020,4,94856.0,1,0,0,690000
Skoda,11,Kushaq,28,2023,1,12000.0,0,0,0,1800000
Toyota,5,Innova Crysta,14,2018,6,118000.0,0,0,1,1795000
Mercedes-Benz,12,C-Class,29,2016,8,41000.0,0,1,0,2000000
Honda,0,City,0,2010,14,79000.0,1,1,0,290000
Honda,0,BRV,30,2016,8,103001.0,1,1,1,555555
Hyundai,6,Creta,22,2017,7,70000.0,1,1,0,765000
Renault,9,Duster,31,2018,6,130000.0,1,0,1,690000
Maruti Suzuki,2,Wagon-R,32,2011,13,78000.0,1,1,0,225000
